trait_tissue	trait_desc	trait_seqid	trait_gene_ids	trait_protein_ids	notes_sex	notes_source_id	notes_maker	notes_maker_platform_technology	notes_maker_platform_description	notes_maker_platform_version
Plasma	Glutathione S-transferase A1	17138-8	ENSG00000243955	P08263	combined	seq.17138.8	Somalogic	proteomics	SomaScan	7k
Plasma	Platelet-derived growth factor D	17140-57	ENSG00000170962	Q9GZP0	combined	seq.17140.57	Somalogic	proteomics	SomaScan	7k
Plasma	Protein S100-A8/A9 heterodimer	17145-1	ENSG00000163220|ENSG00000143546	P06702|P05109	combined	seq.17145.1	Somalogic	proteomics	SomaScan	7k
Plasma	Flavin reductase (NADPH)	17148-7	ENSG00000090013	P30043	combined	seq.17148.7	Somalogic	proteomics	SomaScan	7k
Plasma	10 kDa heat shock protein, mitochondrial	17150-8	ENSG00000115541	P61604	combined	seq.17150.8	Somalogic	proteomics	SomaScan	7k
Plasma	Interferon regulatory factor 3	17151-84	ENSG00000126456	Q14653	combined	seq.17151.84	Somalogic	proteomics	SomaScan	7k
Plasma	Killer cell immunoglobulin-like receptor 2DS4	17152-10	ENSG00000276885|ENSG00000274957|ENSG00000274406|ENSG00000276634|ENSG00000284264|ENSG00000283870|ENSG00000275731|ENSG00000276154|ENSG00000274947|ENSG00000275353|ENSG00000276395|ENSG00000283882	P43632	combined	seq.17152.10	Somalogic	proteomics	SomaScan	7k
Plasma	Killer cell immunoglobulin-like receptor 2DL3	17153-46	ENSG00000274830|ENSG00000284510|ENSG00000275623|ENSG00000284333|ENSG00000274952|ENSG00000274108|ENSG00000277317|ENSG00000283702|ENSG00000274402|ENSG00000277924|ENSG00000274410|ENSG00000277484|ENSG00000283790|ENSG00000284504|ENSG00000276459|ENSG00000276218|ENSG00000275008|ENSG00000278327|ENSG00000275658|ENSG00000283708|ENSG00000273887|ENSG00000276590|ENSG00000243772|ENSG00000277554	P43628	combined	seq.17153.46	Somalogic	proteomics	SomaScan	7k
Plasma	Prostaglandin E synthase 3	17154-2	ENSG00000110958	Q15185	combined	seq.17154.2	Somalogic	proteomics	SomaScan	7k
Plasma	Vacuolar protein sorting-associated protein 28 homolog	17155-1	ENSG00000160948|ENSG00000285339	Q9UK41	combined	seq.17155.1	Somalogic	proteomics	SomaScan	7k
Plasma	Serine/threonine-protein kinase DCLK1	17156-72	ENSG00000133083	O15075	combined	seq.17156.72	Somalogic	proteomics	SomaScan	7k
