SeqID	Target_Name	UniProt_BELIEVE	UniProt_Literature	UniProt_Match
seq.2665.26	Tumor necrosis factor receptor superfamily member 17	Q02223	Q02223	True
seq.2666.53	Decorin	P07585	P07585	True
seq.2668.70	Calpain I	P04632|P07384	P04632|P07384	True
seq.2670.67	Creatine kinase M-type	P06732	P06732	True
seq.2677.1	Epidermal growth factor receptor	P00533	P00533	True
seq.2681.23	Hepatocyte growth factor	P14210	P14210	True
seq.2682.68	60 kDa heat shock protein, mitochondrial	P10809	P10809	True
seq.2683.1	Complement C3b, inactivated	P01024	P01024	True
seq.2685.21	Insulin-like growth factor-binding protein 5	P24593	P24593	True
seq.2686.67	Insulin-like growth factor-binding protein 6	P24592	P24592	True
seq.2687.2	Melanoma-derived growth regulatory protein	Q16674	Q16674	True
seq.2692.74	Phospholipase A2, membrane associated	P14555	P14555	True
seq.2693.20	Oncostatin-M	P13725	P13725	True
seq.2695.25	Platelet endothelial cell adhesion molecule	P16284	P16284	True
seq.2696.87	Persephin	O60542	O60542	True
seq.2697.7	Platelet factor 4	P02776	P02776	True
seq.2700.56	Vitamin K-dependent protein S	P07225	P07225	True
seq.2704.74	Tumor necrosis factor receptor superfamily member 13B	O14836	O14836	True
seq.2705.5	C-C motif chemokine 25	O15444	O15444	True
seq.2706.69	Thyroxine-binding globulin	P05543	P05543	True
seq.2708.54	Tumor necrosis factor ligand superfamily member 18	Q9UNG2	Q9UNG2	True
seq.2711.6	Ciliary neurotrophic factor receptor subunit alpha	P26992	P26992	True
seq.2714.78	Endothelial monocyte-activating polypeptide 2	Q12904	Q12904	True
seq.2715.25	Erythropoietin receptor	P19235	P19235	True
seq.2719.3	Granulocyte colony-stimulating factor receptor	Q99062	Q99062	True
seq.2723.9	Interleukin-37	Q9NZH6	Q9NZH6	True
seq.2728.62	Tenascin	P24821	P24821	True
seq.2730.58	MHC class I polypeptide-related sequence A	Q29983	Q29983	True
seq.2731.29	NADPH--cytochrome P450 reductase	P16435	P16435	True
seq.2732.58	Homeobox protein NANOG	Q9H9S0	Q9H9S0	True
seq.2734.49	Natural cytotoxicity triggering receptor 2	O95944	O95944	True
seq.2737.22	Protein NOV homolog	P48745	P48745	True
seq.2741.22	Sialic acid-binding Ig-like lectin 6	O43699	O43699	True
seq.2742.68	Sialic acid-binding Ig-like lectin 7	Q9Y286	Q9Y286	True
seq.2743.5	Sonic hedgehog protein	Q15465	Q15465	True
seq.2744.57	Immunoglobulin G	P01857	P01857	True
seq.2746.56	Cytokine receptor-like factor 2	Q9HC73	Q9HC73	True
seq.2747.3	NKG2D ligand 3	Q9BZM4	Q9BZM4	True
seq.2748.3	Activin A	P08476	P08476	True
seq.2750.3	Apolipoprotein A-I	P02647	P02647	True
seq.2751.16	Azurocidin	P20160	P20160	True
seq.2752.62	Growth/differentiation factor 5	P43026	P43026	True
seq.2753.2	Complement C1q subcomponent	P02747|P02746|P02745	P02747|P02746|P02745	True
seq.2754.50	Complement C3	P01024	P01024	True
seq.2755.8	C3a anaphylatoxin des Arginine	P01024	P01024	True
seq.2760.2	Protein FAM107A	O95990	O95990	True
seq.2761.49	Fibroblast growth factor 18	O76093	O76093	True
seq.2762.30	Fibroblast growth factor 19	O95750	O95750	True
seq.2763.66	Fibroblast growth factor 20	Q9NP95	Q9NP95	True
seq.2765.4	Growth/differentiation factor 11/8	O14793|O95390	O14793|O95390	True
seq.2768.56	Hemopexin	P02790	P02790	True
seq.2769.3	Protein Rev_HV2BE	P18093	P18093	True
seq.2770.51	C-C motif chemokine 1	P22362	P22362	True
seq.2771.35	Insulin-like growth factor-binding protein 1	P08833	P08833	True
seq.2773.50	Interleukin-10	P22301	P22301	True
seq.2774.10	Interleukin-16	Q14005	Q14005	True
seq.2775.54	Interleukin-17F	Q96PD4	Q96PD4	True
seq.2778.10	Interleukin-22	Q9GZX6	Q9GZX6	True
seq.2780.35	Lactotransferrin	P02788	P02788	True
seq.2781.63	C-C motif chemokine 4-like	Q8NHW4	Q8NHW4	True
seq.2783.18	C-C motif chemokine 3-like 1	P16619	P16619	True
seq.2785.15	C-C motif chemokine 8	P80075	P80075	True
seq.2788.55	Stromelysin-1	P08254	P08254	True
seq.2789.26	Matrilysin	P09237	P09237	True
seq.2790.54	Neutrophil-activating peptide 2	P02775	P02775	True
seq.2794.60	Superoxide dismutase [Cu-Zn]	P00441	P00441	True
seq.2796.62	Fibrinogen	P02679|P02675|P02671	P02679|P02675|P02671	True
seq.2797.56	Apolipoprotein B	P04114	P04114	True
seq.2805.6	Angiotensin-converting enzyme 2	Q9BYF1	Q9BYF1	True
seq.2806.49	Activin receptor type-1B	P36896	P36896	True
seq.2809.25	A disintegrin and metalloproteinase with thrombospondin motifs 4	O75173	O75173	True
seq.2811.27	Angiopoietin-1	Q15389	Q15389	True
seq.2813.11	Agouti-related protein	O00253	O00253	True
seq.2816.50	Basal Cell Adhesion Molecule	P50895	P50895	True
seq.2819.23	Cadherin-5	P33151	P33151	True
seq.2822.56	CD97 antigen	P48960	P48960	True
seq.2823.7	COMM domain-containing protein 7	Q86VX2	Q86VX2	True
seq.2826.53	Ectodysplasin-A, secreted form	Q92838	Q92838	True
seq.2827.23	Fractalkine	P78423	P78423	True
seq.2828.82	Kunitz-type protease inhibitor 1	O43278	O43278	True
seq.2829.19	Interleukin-27	Q14213|Q8NEV9	Q14213|Q8NEV9	True
seq.2831.29	Kallikrein-11	Q9UBX7	Q9UBX7	True
seq.2834.54	Kallikrein-8	O60259	O60259	True
seq.2835.1	X-ray repair cross-complementing protein 6	P12956	P12956	True
seq.2837.3	Hepatocyte growth factor receptor	P08581	P08581	True
seq.2838.53	Matrix metalloproteinase-17	Q9ULZ9	Q9ULZ9	True
seq.2839.2	Tumor necrosis factor ligand superfamily member 4	P23510	P23510	True
seq.2841.13	Secreted frizzled-related protein 3	Q92765	Q92765	True
seq.2843.13	Kunitz-type protease inhibitor 2	O43291	O43291	True
seq.2844.53	Tyrosine-protein kinase receptor Tie-1, soluble	P35590	P35590	True
seq.2846.24	Ubiquitin+1, truncated mutation for UbB	P62979	P62979	True
seq.2848.2	Wnt inhibitory factor 1	Q9Y5W5	Q9Y5W5	True
seq.2849.49	Allograft inflammatory factor 1	P55008	P55008	True
seq.2851.63	C5a anaphylatoxin	P01031	P01031	True
seq.2853.68	Serine/threonine-protein kinase Chk1	O14757	O14757	True
seq.2855.49	Mitogen-activated protein kinase 3	P27361	P27361	True
seq.2857.70	Glucocorticoid receptor	P04150	P04150	True
seq.2858.29	Histone acetyltransferase type B catalytic subunit	O14929	O14929	True
seq.2859.69	Histone deacetylase 8	Q9BY41	Q9BY41	True
seq.2860.19	Importin subunit alpha-1	P52292	P52292	True
seq.2864.2	Dual specificity mitogen-activated protein kinase kinase 1	Q02750	Q02750	True
seq.2867.52	RAC-alpha serine/threonine-protein kinase	P31749	P31749	True
seq.2869.68	Protein kinase C delta type	Q05655	Q05655	True
seq.2870.29	Ras-related C3 botulinum toxin substrate 1	P63000	P63000	True
seq.2871.73	DNA repair protein RAD51 homolog 1	Q06609	Q06609	True
seq.2875.15	TATA-box-binding protein	P20226	P20226	True
seq.2876.74	DNA topoisomerase 1	P11387	P11387	True
seq.2877.3	SUMO-conjugating enzyme UBC9	P63279	P63279	True
seq.2878.66	Tyrosine-protein kinase Yes	P07947	P07947	True
seq.2879.9	Alpha-1-antichymotrypsin	P01011	P01011	True
seq.2888.49	Complement component C7	P10643	P10643	True
seq.2889.37	Cardiotrophin-1	Q16619	Q16619	True
seq.2890.59	C-C motif chemokine 28	Q9NRJ3	Q9NRJ3	True
seq.2891.1	B-cell receptor CD22	P20273	P20273	True
seq.2900.53	C-C motif chemokine 14	Q16627	Q16627	True
seq.2906.55	Interleukin-4	P05112	P05112	True
seq.2911.27	Midkine	P21741	P21741	True
seq.2913.1	C-C motif chemokine 23	P55773	P55773	True
seq.2915.6	Proliferating cell nuclear antigen	P12004	P12004	True
seq.2917.3	Tumor necrosis factor ligand superfamily member 11	O14788	O14788	True
seq.2925.9	Plasminogen activator inhibitor 1	P05121	P05121	True
seq.2937.10	Apolipoprotein E (isoform E3)	P02649	P02649	True
seq.2938.55	Apolipoprotein E (isoform E4)	P02649	P02649	True
seq.2939.10	Artemin	Q5T4W7	Q5T4W7	True
seq.2942.50	Cytochrome c	P99999	P99999	True
seq.2943.5	Cytochrome P450 3A4	P08684	P08684	True
seq.2944.66	Neuroblastoma suppressor of tumorigenicity 1	P41271	P41271	True
seq.2946.52	Complement factor D	P00746	P00746	True
seq.2948.58	Growth hormone receptor	P10912	P10912	True
seq.2949.6	Group 10 secretory phospholipase A2	O15496	O15496	True
seq.2950.57	Insulin-like growth factor-binding protein 4	P22692	P22692	True
seq.2952.75	Insulin-like growth factor I	P05019	P05019	True
seq.2953.31	Luteinizing hormone	P01229|P01215	P01229|P01215	True
seq.2954.56	Neutrophil collagenase	P22894	P22894	True
seq.2960.66	Properdin	P27918	P27918	True
seq.2961.1	Vitamin K-dependent protein C	P04070	P04070	True
seq.2962.50	Parathyroid hormone-related protein	P12272	P12272	True
seq.2966.65	Stem cell growth factor-beta	Q9Y240	Q9Y240	True
seq.2967.8	Vascular cell adhesion protein 1	P19320	P19320	True
seq.2968.61	Tumor necrosis factor ligand superfamily member 15	O95150	O95150	True
seq.2969.11	Serine/threonine-protein kinase receptor R3	P37023	P37023	True
seq.2970.60	Amphiregulin	P15514	P15514	True
seq.2972.57	Bone morphogenetic protein 7	P18075	P18075	True
seq.2973.15	Platelet glycoprotein 4	P16671	P16671	True
seq.2974.61	Contactin-1	Q12860	Q12860	True
seq.2975.19	Connective tissue growth factor	P29279	P29279	True
seq.2976.58	Desmoglein-1	Q02413	Q02413	True
seq.2977.7	Tumor necrosis factor receptor superfamily member EDAR	Q9UNE0	Q9UNE0	True
seq.2979.8	C-X-C motif chemokine 5	P42830	P42830	True
seq.2981.9	Endothelial cell-selective adhesion molecule	Q96AP7	Q96AP7	True
seq.2982.82	Galectin-4	P56470	P56470	True
seq.2985.35	Growth-regulated alpha protein	P09341	P09341	True
seq.2986.49	Gro-gamma	P19876	P19876	True
seq.2987.37	Histone H1.2	P16403	P16403	True
seq.2989.17	Interferon gamma	P01579	P01579	True
seq.2991.9	Interleukin-1 receptor type 1	P14778	P14778	True
seq.2992.59	Interleukin-17 receptor A	Q96F46	Q96F46	True
seq.2993.1	Interleukin-18 receptor accessory protein	O95256	O95256	True
seq.2994.71	Interleukin-1 receptor-like 2	Q9HB29	Q9HB29	True
seq.2997.8	Junctional adhesion molecule B	P57087	P57087	True
seq.2998.53	Junctional adhesion molecule C	Q9BX67	Q9BX67	True
seq.2999.6	Limbic system-associated membrane protein	Q13449	Q13449	True
seq.3000.66	Mannose-binding protein C	P11226	P11226	True
seq.3003.29	Natural cytotoxicity triggering receptor 3	O14931	O14931	True
seq.3004.67	Programmed cell death 1 ligand 2	Q9BQ51	Q9BQ51	True
seq.3005.5	Tyrosine-protein phosphatase non-receptor type 1	P18031	P18031	True
seq.3007.7	Sialic acid-binding Ig-like lectin 9	Q9Y336	Q9Y336	True
seq.3009.3	Transforming growth factor beta receptor type 3	Q03167	Q03167	True
seq.3010.53	Thymic stromal lymphopoietin	Q969D9	Q969D9	True
seq.3022.4	Cytotoxic T-lymphocyte protein 4	P16410	P16410	True
seq.3024.18	Alpha-2-antiplasmin	P08697	P08697	True
seq.3025.50	Fibroblast growth factor 2	P09038	P09038	True
seq.3026.5	Calpastatin	P20810	P20810	True
seq.3028.36	Ck-beta-8-1	P55773	P55773	True
